Channel;Calibration;Value0;0,000000;132
1;0,000000;124
2;0,000000;109
3;0,000000;110
4;0,000000;144
5;0,000000;112
6;0,000000;133
7;0,000000;109
8;0,000000;117
9;0,000000;103
10;0,000000;113
11;0,000000;104
12;0,000000;97
13;0,000000;115
14;0,000000;107
15;0,000000;107
16;0,000000;87
17;0,000000;106
18;0,000000;85
19;0,000000;95
20;0,000000;115
21;0,000000;99
22;0,000000;98
23;0,000000;104
24;0,000000;82
25;0,000000;82
26;0,000000;88
27;0,000000;100
28;0,000000;97
29;0,000000;91
30;0,000000;102
31;0,000000;107
32;0,000000;112
33;0,000000;102
34;0,000000;104
35;0,000000;82
36;0,000000;99
37;0,000000;92
38;0,000000;96
39;0,000000;102
40;0,000000;107
41;0,000000;105
42;0,000000;88
43;0,000000;91
44;0,000000;117
45;0,000000;111
46;0,000000;102
47;0,000000;85
48;0,000000;103
49;0,000000;112
50;0,000000;106
51;0,000000;132
52;0,000000;105
53;0,000000;110
54;0,000000;109
55;0,000000;108
56;0,000000;119
57;0,000000;127
58;0,000000;109
59;0,000000;127
60;0,000000;125
61;0,000000;125
62;0,000000;124
63;0,000000;111
64;0,000000;128
65;0,000000;128
66;0,000000;130
67;0,000000;155
68;0,000000;116
69;0,000000;133
70;0,000000;140
71;0,000000;138
72;0,000000;113
73;0,000000;148
74;0,000000;153
75;0,000000;132
76;0,000000;145
77;0,000000;157
78;0,000000;159
79;0,000000;150
80;0,000000;137
81;0,000000;151
82;0,000000;149
83;0,000000;154
84;0,000000;176
85;0,000000;164
86;0,000000;174
87;0,000000;168
88;0,000000;161
89;0,000000;178
90;0,000000;153
91;0,000000;180
92;0,000000;170
93;0,000000;162
94;0,000000;164
95;0,000000;182
96;0,000000;207
97;0,000000;173
98;0,000000;163
99;0,000000;179
100;0,000000;166
101;0,000000;181
102;0,000000;186
103;0,000000;225
104;0,000000;224
105;0,000000;233
106;0,000000;190
107;0,000000;234
108;0,000000;210
109;0,000000;202
110;0,000000;216
111;0,000000;215
112;0,000000;237
113;0,000000;200
114;0,000000;212
115;0,000000;220
116;0,000000;264
117;0,000000;261
118;0,000000;255
119;0,000000;246
120;0,000000;266
121;0,000000;231
122;0,000000;262
123;0,000000;254
124;0,000000;295
125;0,000000;324
126;0,000000;319
127;0,000000;303
128;0,000000;317
129;0,000000;298
130;0,000000;366
131;0,000000;354
132;0,000000;362
133;0,000000;424
134;0,000000;414
135;0,000000;403
136;0,000000;452
137;0,000000;475
138;0,000000;523
139;0,000000;493
140;0,000000;526
141;0,000000;550
142;0,000000;662
143;0,000000;633
144;0,000000;690
145;0,000000;701
146;0,000000;810
147;0,000000;819
148;0,000000;870
149;0,000000;938
150;0,000000;995
151;0,000000;1052
152;0,000000;1104
153;0,000000;1133
154;0,000000;1285
155;0,000000;1421
156;0,000000;1442
157;0,000000;1546
158;0,000000;1613
159;0,000000;1821
160;0,000000;1746
161;0,000000;1930
162;0,000000;1989
163;0,000000;2118
164;0,000000;2267
165;0,000000;2437
166;0,000000;2470
167;0,000000;2705
168;0,000000;2855
169;0,000000;3073
170;0,000000;3123
171;0,000000;3308
172;0,000000;3483
173;0,000000;3529
174;0,000000;3826
175;0,000000;3892
176;0,000000;4104
177;0,000000;4305
178;0,000000;4439
179;0,000000;4648
180;0,000000;4826
181;0,000000;5001
182;0,000000;5152
183;0,000000;5464
184;0,000000;5522
185;0,000000;5673
186;0,000000;5895
187;0,000000;5955
188;0,000000;6250
189;0,000000;6370
190;0,000000;6548
191;0,000000;6584
192;0,000000;6912
193;0,000000;6956
194;0,000000;7062
195;0,000000;7151
196;0,000000;7140
197;0,000000;7177
198;0,000000;7399
199;0,000000;7560
200;0,000000;7529
201;0,000000;7635
202;0,000000;7696
203;0,000000;7717
204;0,000000;7775
205;0,000000;7745
206;0,000000;7971
207;0,000000;7793
208;0,000000;7805
209;0,000000;7824
210;0,000000;7882
211;0,000000;7645
212;0,000000;7628
213;0,000000;7725
214;0,000000;7469
215;0,000000;7437
216;0,000000;7537
217;0,000000;7406
218;0,000000;7269
219;0,000000;6955
220;0,000000;7032
221;0,000000;6926
222;0,000000;6838
223;0,000000;6687
224;0,000000;6542
225;0,000000;6446
226;0,000000;6276
227;0,000000;6106
228;0,000000;6026
229;0,000000;5874
230;0,000000;5720
231;0,000000;5574
232;0,000000;5427
233;0,000000;5319
234;0,000000;5158
235;0,000000;4975
236;0,000000;4828
237;0,000000;4624
238;0,000000;4569
239;0,000000;4403
240;0,000000;4158
241;0,000000;4182
242;0,000000;3996
243;0,000000;3980
244;0,000000;3831
245;0,000000;3566
246;0,000000;3462
247;0,000000;3227
248;0,000000;3317
249;0,000000;3048
250;0,000000;3038
251;0,000000;2778
252;0,000000;2794
253;0,000000;2646
254;0,000000;2544
255;0,000000;2388
256;0,000000;2362
257;0,000000;2264
258;0,000000;2135
259;0,000000;2087
260;0,000000;1935
261;0,000000;1884
262;0,000000;1821
263;0,000000;1718
264;0,000000;1725
265;0,000000;1555
266;0,000000;1516
267;0,000000;1499
268;0,000000;1444
269;0,000000;1365
270;0,000000;1313
271;0,000000;1255
272;0,000000;1230
273;0,000000;1120
274;0,000000;1073
275;0,000000;1094
276;0,000000;956
277;0,000000;896
278;0,000000;870
279;0,000000;799
280;0,000000;763
281;0,000000;771
282;0,000000;738
283;0,000000;666
284;0,000000;650
285;0,000000;624
286;0,000000;591
287;0,000000;584
288;0,000000;526
289;0,000000;505
290;0,000000;468
291;0,000000;462
292;0,000000;400
293;0,000000;396
294;0,000000;409
295;0,000000;388
296;0,000000;386
297;0,000000;317
298;0,000000;303
299;0,000000;322
300;0,000000;282
301;0,000000;285
302;0,000000;283
303;0,000000;254
304;0,000000;216
305;0,000000;233
306;0,000000;225
307;0,000000;202
308;0,000000;193
309;0,000000;197
310;0,000000;171
311;0,000000;160
312;0,000000;186
313;0,000000;165
314;0,000000;142
315;0,000000;148
316;0,000000;124
317;0,000000;121
318;0,000000;127
319;0,000000;122
320;0,000000;125
321;0,000000;106
322;0,000000;98
323;0,000000;103
324;0,000000;85
325;0,000000;86
326;0,000000;107
327;0,000000;107
328;0,000000;90
329;0,000000;80
330;0,000000;95
331;0,000000;83
332;0,000000;86
333;0,000000;77
334;0,000000;101
335;0,000000;102
336;0,000000;93
337;0,000000;99
338;0,000000;78
339;0,000000;86
340;0,000000;76
341;0,000000;79
342;0,000000;75
343;0,000000;85
344;0,000000;63
345;0,000000;61
346;0,000000;84
347;0,000000;65
348;0,000000;76
349;0,000000;86
350;0,000000;76
351;0,000000;77
352;0,000000;71
353;0,000000;70
354;0,000000;78
355;0,000000;65
356;0,000000;83
357;0,000000;88
358;0,000000;57
