Channel;Calibration;Value0;0,000000;70
1;0,000000;70
2;0,000000;74
3;0,000000;80
4;0,000000;64
5;0,000000;61
6;0,000000;62
7;0,000000;62
8;0,000000;71
9;0,000000;61
10;0,000000;62
11;0,000000;60
12;0,000000;77
13;0,000000;57
14;0,000000;64
15;0,000000;65
16;0,000000;63
17;0,000000;64
18;0,000000;51
19;0,000000;52
20;0,000000;59
21;0,000000;61
22;0,000000;67
23;0,000000;70
24;0,000000;64
25;0,000000;51
26;0,000000;53
27;0,000000;59
28;0,000000;65
29;0,000000;57
30;0,000000;62
31;0,000000;67
32;0,000000;51
33;0,000000;58
34;0,000000;52
35;0,000000;66
36;0,000000;55
37;0,000000;67
38;0,000000;56
39;0,000000;55
40;0,000000;52
41;0,000000;60
42;0,000000;62
43;0,000000;64
44;0,000000;75
45;0,000000;59
46;0,000000;67
47;0,000000;60
48;0,000000;53
49;0,000000;52
50;0,000000;65
51;0,000000;59
52;0,000000;67
53;0,000000;74
54;0,000000;58
55;0,000000;62
56;0,000000;64
57;0,000000;64
58;0,000000;55
59;0,000000;73
60;0,000000;77
61;0,000000;76
62;0,000000;69
63;0,000000;77
64;0,000000;83
65;0,000000;92
66;0,000000;80
67;0,000000;79
68;0,000000;68
69;0,000000;72
70;0,000000;77
71;0,000000;79
72;0,000000;83
73;0,000000;81
74;0,000000;88
75;0,000000;78
76;0,000000;79
77;0,000000;80
78;0,000000;96
79;0,000000;86
80;0,000000;97
81;0,000000;96
82;0,000000;67
83;0,000000;84
84;0,000000;96
85;0,000000;90
86;0,000000;102
87;0,000000;103
88;0,000000;107
89;0,000000;106
90;0,000000;94
91;0,000000;96
92;0,000000;91
93;0,000000;80
94;0,000000;96
95;0,000000;120
96;0,000000;100
97;0,000000;119
98;0,000000;84
99;0,000000;113
100;0,000000;113
101;0,000000;122
102;0,000000;95
103;0,000000;123
104;0,000000;135
105;0,000000;109
106;0,000000;129
107;0,000000;131
108;0,000000;115
109;0,000000;115
110;0,000000;125
111;0,000000;138
112;0,000000;148
113;0,000000;139
114;0,000000;142
115;0,000000;140
116;0,000000;151
117;0,000000;142
118;0,000000;139
119;0,000000;178
120;0,000000;152
121;0,000000;172
122;0,000000;158
123;0,000000;170
124;0,000000;179
125;0,000000;187
126;0,000000;169
127;0,000000;193
128;0,000000;221
129;0,000000;211
130;0,000000;232
131;0,000000;219
132;0,000000;258
133;0,000000;265
134;0,000000;276
135;0,000000;294
136;0,000000;293
137;0,000000;320
138;0,000000;335
139;0,000000;349
140;0,000000;346
141;0,000000;388
142;0,000000;436
143;0,000000;457
144;0,000000;487
145;0,000000;549
146;0,000000;499
147;0,000000;559
148;0,000000;601
149;0,000000;613
150;0,000000;662
151;0,000000;727
152;0,000000;811
153;0,000000;876
154;0,000000;846
155;0,000000;929
156;0,000000;969
157;0,000000;952
158;0,000000;1124
159;0,000000;1184
160;0,000000;1199
161;0,000000;1353
162;0,000000;1427
163;0,000000;1424
164;0,000000;1527
165;0,000000;1610
166;0,000000;1760
167;0,000000;1787
168;0,000000;1805
169;0,000000;2030
170;0,000000;2044
171;0,000000;2149
172;0,000000;2306
173;0,000000;2416
174;0,000000;2427
175;0,000000;2542
176;0,000000;2611
177;0,000000;2719
178;0,000000;2807
179;0,000000;2868
180;0,000000;2973
181;0,000000;3091
182;0,000000;3198
183;0,000000;3372
184;0,000000;3425
185;0,000000;3500
186;0,000000;3611
187;0,000000;3723
188;0,000000;3793
189;0,000000;3825
190;0,000000;3888
191;0,000000;3939
192;0,000000;4039
193;0,000000;4161
194;0,000000;4149
195;0,000000;4150
196;0,000000;4118
197;0,000000;4168
198;0,000000;4179
199;0,000000;4229
200;0,000000;4483
201;0,000000;4435
202;0,000000;4295
203;0,000000;4386
204;0,000000;4469
205;0,000000;4392
206;0,000000;4270
207;0,000000;4284
208;0,000000;4354
209;0,000000;4106
210;0,000000;4256
211;0,000000;4239
212;0,000000;4212
213;0,000000;4081
214;0,000000;3998
215;0,000000;4006
216;0,000000;3845
217;0,000000;3966
218;0,000000;3829
219;0,000000;3798
220;0,000000;3720
221;0,000000;3575
222;0,000000;3414
223;0,000000;3498
224;0,000000;3366
225;0,000000;3295
226;0,000000;3207
227;0,000000;3154
228;0,000000;3015
229;0,000000;2989
230;0,000000;2890
231;0,000000;2816
232;0,000000;2740
233;0,000000;2600
234;0,000000;2556
235;0,000000;2391
236;0,000000;2415
237;0,000000;2327
238;0,000000;2320
239;0,000000;2133
240;0,000000;2156
241;0,000000;2005
