Channel;Calibration;Value0;0,000000;0
1;0,000000;0
2;0,000000;0
3;0,000000;0
4;0,000000;0
5;0,000000;0
6;0,000000;0
7;0,000000;0
8;0,000000;0
9;0,000000;0
10;0,000000;0
11;0,000000;0
12;0,000000;0
13;0,000000;20
14;0,000000;54
15;0,000000;84
16;0,000000;74
17;0,000000;89
18;0,000000;83
19;0,000000;92
20;0,000000;81
21;0,000000;79
22;0,000000;98
23;0,000000;86
24;0,000000;108
25;0,000000;93
26;0,000000;85
27;0,000000;85
28;0,000000;111
29;0,000000;84
30;0,000000;105
31;0,000000;112
32;0,000000;98
33;0,000000;96
34;0,000000;103
35;0,000000;97
36;0,000000;106
37;0,000000;100
38;0,000000;106
39;0,000000;107
40;0,000000;104
41;0,000000;103
42;0,000000;105
43;0,000000;102
44;0,000000;104
45;0,000000;107
46;0,000000;122
47;0,000000;118
48;0,000000;133
49;0,000000;122
50;0,000000;107
51;0,000000;110
52;0,000000;127
53;0,000000;120
54;0,000000;126
55;0,000000;125
56;0,000000;137
57;0,000000;134
58;0,000000;146
59;0,000000;171
60;0,000000;165
61;0,000000;165
62;0,000000;185
63;0,000000;180
64;0,000000;220
65;0,000000;257
66;0,000000;257
67;0,000000;259
68;0,000000;308
69;0,000000;328
70;0,000000;367
71;0,000000;394
72;0,000000;398
73;0,000000;443
74;0,000000;511
75;0,000000;599
76;0,000000;648
77;0,000000;760
78;0,000000;750
79;0,000000;879
80;0,000000;962
81;0,000000;1000
82;0,000000;1163
83;0,000000;1242
84;0,000000;1365
85;0,000000;1357
86;0,000000;1511
87;0,000000;1657
88;0,000000;1717
89;0,000000;1911
90;0,000000;2066
91;0,000000;2086
92;0,000000;2116
93;0,000000;2337
94;0,000000;2442
95;0,000000;2523
96;0,000000;2684
97;0,000000;2596
98;0,000000;2737
99;0,000000;2905
100;0,000000;2854
101;0,000000;2885
102;0,000000;2879
103;0,000000;2882
104;0,000000;2958
105;0,000000;2834
106;0,000000;2913
107;0,000000;2868
108;0,000000;2833
109;0,000000;2777
110;0,000000;2717
111;0,000000;2719
112;0,000000;2592
113;0,000000;2498
114;0,000000;2506
115;0,000000;2377
116;0,000000;2224
117;0,000000;2199
118;0,000000;2118
119;0,000000;1987
120;0,000000;1879
121;0,000000;1860
122;0,000000;1702
123;0,000000;1632
124;0,000000;1553
